id,user_id,recipe_id,type,timestamp,rating,difficulty_used
int_123,user_10,recipe_15,like,2025-11-20T06:18:10.922313Z,,
int_124,user_10,recipe_6,view,2025-11-20T06:18:11.007873Z,,
int_125,user_10,recipe_8,view,2025-11-20T06:18:11.092031Z,,
int_126,user_10,recipe_8,cook,2025-11-20T06:18:11.161878Z,5,medium
int_127,user_10,recipe_1,view,2025-11-20T06:18:11.241879Z,,
int_128,user_10,recipe_1,like,2025-11-20T06:18:11.322986Z,,
int_129,user_10,recipe_5,view,2025-11-20T06:18:11.403466Z,,
int_13,user_2,recipe_12,view,2025-11-20T06:17:51.388375Z,,
int_130,user_10,recipe_5,like,2025-11-20T06:18:11.571406Z,,
int_131,user_10,recipe_12,view,2025-11-20T06:18:11.646052Z,,
int_14,user_2,recipe_12,like,2025-11-20T06:17:51.461679Z,,
int_15,user_2,recipe_12,cook,2025-11-20T06:17:51.533994Z,3,hard
int_16,user_2,recipe_11,view,2025-11-20T06:17:51.626575Z,,
int_17,user_2,recipe_15,view,2025-11-20T06:17:51.815800Z,,
int_18,user_2,recipe_15,cook,2025-11-20T06:17:51.890782Z,4,medium
int_19,user_2,recipe_9,view,2025-11-20T06:17:51.963170Z,,
int_2,user_1,recipe_6,cook,2025-11-20T06:17:48.682233Z,5,easy
int_20,user_2,recipe_10,view,2025-11-20T06:17:52.031951Z,,
int_21,user_2,recipe_2,view,2025-11-20T06:17:52.100382Z,,
int_22,user_2,recipe_2,like,2025-11-20T06:17:52.191135Z,,
int_23,user_2,recipe_2,cook,2025-11-20T06:17:52.286118Z,3,easy
int_24,user_3,recipe_3,view,2025-11-20T06:17:52.524718Z,,
int_25,user_3,recipe_3,like,2025-11-20T06:17:52.605727Z,,
int_26,user_3,recipe_egg_burji_roti,view,2025-11-20T06:17:52.714338Z,,
int_27,user_3,recipe_egg_burji_roti,cook,2025-11-20T06:17:52.867733Z,5,easy
int_28,user_3,recipe_13,view,2025-11-20T06:17:52.948100Z,,
int_29,user_3,recipe_5,view,2025-11-20T06:17:53.291713Z,,
int_3,user_1,recipe_2,view,2025-11-20T06:17:48.888295Z,,
int_30,user_3,recipe_5,like,2025-11-20T06:17:53.631826Z,,
int_31,user_3,recipe_5,cook,2025-11-20T06:17:54.003618Z,3,hard
int_32,user_3,recipe_2,view,2025-11-20T06:17:54.338743Z,,
int_33,user_3,recipe_2,cook,2025-11-20T06:17:56.736940Z,3,easy
int_34,user_3,recipe_12,view,2025-11-20T06:17:56.937111Z,,
int_35,user_3,recipe_14,view,2025-11-20T06:17:58.371130Z,,
int_36,user_3,recipe_14,like,2025-11-20T06:17:58.656535Z,,
int_37,user_3,recipe_11,view,2025-11-20T06:17:58.857111Z,,
int_38,user_3,recipe_11,cook,2025-11-20T06:17:59.261527Z,4,hard
int_39,user_4,recipe_14,view,2025-11-20T06:17:59.425108Z,,
int_4,user_1,recipe_11,view,2025-11-20T06:17:49.292901Z,,
int_40,user_4,recipe_14,cook,2025-11-20T06:17:59.621664Z,4,hard
int_41,user_4,recipe_6,view,2025-11-20T06:18:00.025377Z,,
int_42,user_4,recipe_6,cook,2025-11-20T06:18:00.619834Z,4,medium
int_43,user_4,recipe_egg_burji_roti,view,2025-11-20T06:18:00.779049Z,,
int_44,user_4,recipe_5,view,2025-11-20T06:18:01.975923Z,,
int_45,user_4,recipe_4,view,2025-11-20T06:18:02.207558Z,,
int_46,user_4,recipe_4,cook,2025-11-20T06:18:02.287289Z,4,medium
int_47,user_4,recipe_1,view,2025-11-20T06:18:03.423285Z,,
int_48,user_4,recipe_1,like,2025-11-20T06:18:03.909052Z,,
int_49,user_4,recipe_7,view,2025-11-20T06:18:03.985571Z,,
int_5,user_1,recipe_11,like,2025-11-20T06:17:49.697369Z,,
int_50,user_5,recipe_15,view,2025-11-20T06:18:04.067212Z,,
int_51,user_5,recipe_15,like,2025-11-20T06:18:04.256061Z,,
int_52,user_5,recipe_15,cook,2025-11-20T06:18:04.474658Z,4,medium
int_53,user_5,recipe_13,view,2025-11-20T06:18:04.638348Z,,
int_54,user_5,recipe_13,like,2025-11-20T06:18:04.773172Z,,
int_55,user_5,recipe_6,view,2025-11-20T06:18:04.858198Z,,
int_56,user_5,recipe_6,cook,2025-11-20T06:18:05.026730Z,5,medium
int_57,user_5,recipe_5,view,2025-11-20T06:18:05.189270Z,,
int_58,user_5,recipe_9,view,2025-11-20T06:18:05.267550Z,,
int_59,user_5,recipe_7,view,2025-11-20T06:18:05.331260Z,,
int_6,user_1,recipe_egg_burji_roti,view,2025-11-20T06:17:50.397737Z,,
int_60,user_5,recipe_7,like,2025-11-20T06:18:05.390848Z,,
int_61,user_6,recipe_6,view,2025-11-20T06:18:05.462732Z,,
int_62,user_6,recipe_11,view,2025-11-20T06:18:05.526257Z,,
int_63,user_6,recipe_egg_burji_roti,view,2025-11-20T06:18:05.582441Z,,
int_64,user_6,recipe_9,view,2025-11-20T06:18:05.642679Z,,
int_65,user_6,recipe_9,cook,2025-11-20T06:18:05.699105Z,5,hard
int_66,user_6,recipe_4,view,2025-11-20T06:18:05.762266Z,,
int_67,user_6,recipe_4,like,2025-11-20T06:18:05.838055Z,,
int_68,user_6,recipe_8,view,2025-11-20T06:18:05.907076Z,,
int_69,user_6,recipe_8,like,2025-11-20T06:18:05.967927Z,,
int_7,user_1,recipe_10,view,2025-11-20T06:17:50.725042Z,,
int_70,user_6,recipe_8,cook,2025-11-20T06:18:06.042005Z,5,easy
int_71,user_7,recipe_10,view,2025-11-20T06:18:06.114794Z,,
int_72,user_7,recipe_11,view,2025-11-20T06:18:06.182798Z,,
int_73,user_7,recipe_11,like,2025-11-20T06:18:06.251511Z,,
int_74,user_7,recipe_11,cook,2025-11-20T06:18:06.322634Z,5,medium
int_75,user_7,recipe_4,view,2025-11-20T06:18:06.419903Z,,
int_76,user_7,recipe_4,cook,2025-11-20T06:18:06.482118Z,3,hard
int_77,user_7,recipe_12,view,2025-11-20T06:18:06.647489Z,,
int_78,user_7,recipe_12,like,2025-11-20T06:18:06.707049Z,,
int_79,user_7,recipe_14,view,2025-11-20T06:18:06.782037Z,,
int_8,user_1,recipe_10,like,2025-11-20T06:17:51.028194Z,,
int_80,user_7,recipe_3,view,2025-11-20T06:18:06.848835Z,,
int_81,user_7,recipe_13,view,2025-11-20T06:18:06.919697Z,,
int_82,user_8,recipe_11,view,2025-11-20T06:18:07.002650Z,,
int_83,user_8,recipe_11,cook,2025-11-20T06:18:07.088996Z,4,easy
int_84,user_8,recipe_8,view,2025-11-20T06:18:07.158005Z,,
int_85,user_8,recipe_8,like,2025-11-20T06:18:07.237539Z,,
int_86,user_8,recipe_6,view,2025-11-20T06:18:07.331190Z,,
int_87,user_8,recipe_6,like,2025-11-20T06:18:07.412985Z,,
int_88,user_8,recipe_2,view,2025-11-20T06:18:07.497734Z,,
int_89,user_8,recipe_2,like,2025-11-20T06:18:07.581836Z,,
int_9,user_2,recipe_13,view,2025-11-20T06:17:51.112316Z,,
int_90,user_8,recipe_egg_burji_roti,view,2025-11-20T06:18:07.659084Z,,
int_91,user_8,recipe_15,view,2025-11-20T06:18:07.727425Z,,
int_92,user_8,recipe_15,cook,2025-11-20T06:18:07.819118Z,5,easy
int_93,user_8,recipe_14,view,2025-11-20T06:18:07.897251Z,,
int_94,user_8,recipe_14,like,2025-11-20T06:18:07.973146Z,,
int_95,user_8,recipe_14,cook,2025-11-20T06:18:08.047242Z,5,easy
int_96,user_8,recipe_13,view,2025-11-20T06:18:08.143950Z,,
int_97,user_8,recipe_7,view,2025-11-20T06:18:08.267994Z,,
int_98,user_8,recipe_7,cook,2025-11-20T06:18:08.379097Z,5,medium
int_99,user_9,recipe_3,view,2025-11-20T06:18:08.452231Z,,
